TC 1 time,TC 1 data,TC 2 time,TC 2 data,TC 3 time,TC 3 data
1650207481.4004343,27.987638209186535,1650207481.4195483,28.427306457132083,1650207482.5073647,Out of Range
1650207482.4165242,27.937389529526435,1650207482.4344435,28.444868991691934,1650207483.5381303,Out of Range
1650207483.4328227,28.27703730625034,1650207483.4503973,28.4234036321001,1650207484.5657668,Out of Range
1650207484.4489338,28.159419558515363,1650207484.4662488,28.62828248993154,1650207485.5935059,Out of Range
1650207485.4651845,28.181400379952255,1650207485.4822693,28.735584153050574,1650207486.6212635,Out of Range
1650207486.4815207,28.015479112475173,1650207486.4978783,28.799959924868663,1650207487.6491113,Out of Range
1650207487.497813,27.848089719639677,1650207487.513913,28.29655398538088,1650207488.6768665,Out of Range
1650207488.514226,27.933995176595435,1650207488.5297728,28.485847105694283,1650207489.7047606,Out of Range
1650207489.5304558,27.861756962173164,1650207489.545268,28.53904090653347,1650207490.7325156,Out of Range
1650207490.5467665,28.128698792368482,1650207490.5615385,28.972119262104005,1650207491.7605064,Out of Range
1650207491.573073,28.11308300379286,1650207491.5964496,28.935060939177514,1650207492.7885134,Out of Range
1650207492.6027062,28.090169091506404,1650207492.61751,28.480503200545,1650207493.8244538,Out of Range
1650207493.6188352,27.933995176595435,1650207493.6337655,28.950154814684115,1650207494.85781,Out of Range
1650207494.6351628,27.863709411021315,1650207494.6500275,29.11448915037454,1650207495.8878698,Out of Range
1650207495.6513405,27.98475422207317,1650207495.6664283,28.738044881441215,1650207496.9156172,Out of Range
1650207496.667739,28.31607030483962,1650207496.6826487,28.734143202615336,1650207497.9428935,Out of Range
1650207497.6839607,28.03695273962831,1650207497.6989026,28.421452214187703,1650207498.9707425,Out of Range
1650207498.7001271,28.458528539320973,1650207498.7149253,28.574161975677825,1650207499.9987438,Out of Range
1650207499.7163124,28.282892347754174,1650207499.7311473,28.80632193029983,1650207501.0265105,Out of Range
1650207500.7325919,28.509262458442553,1650207500.747521,28.77069869632636,1650207502.054244,Out of Range
1650207501.74896,28.12089092684302,1650207501.7637842,28.874084745726815,1650207503.0821345,Out of Range
1650207502.7652123,28.204822466366817,1650207502.7801461,28.860430564029986,1650207504.1096275,Out of Range
1650207503.7813504,28.31411868907939,1650207503.7962773,28.93260066937608,1650207505.1375005,Out of Range
1650207504.7975326,28.19260138317525,1650207504.8125358,28.98526223049372,1650207506.1652493,Out of Range
1650207505.8137136,28.619968409126123,1650207505.8285363,29.104228687261987,1650207507.1931212,Out of Range
1650207506.829833,28.446820366432252,1650207506.844518,28.76238573512076,1650207508.221176,Out of Range
1650207507.8482203,28.398034918630458,1650207507.8662007,28.714124691405683,1650207509.249163,Out of Range
1650207508.8663378,28.278478926991575,1650207508.9090595,28.700468443609644,1650207510.2764006,Out of Range
1650207509.8825605,28.362397981058812,1650207509.924548,29.074975882600913,1650207511.3043873,Out of Range
1650207510.8985603,28.391670504964736,1650207510.940548,28.769679091007262,1650207512.3323863,Out of Range
1650207511.914586,28.47753190551184,1650207511.956479,28.79749938827958,1650207513.3636498,Out of Range
1650207512.930563,28.385306100751706,1650207512.9725955,29.083707605107186,1650207514.4077559,Out of Range
1650207513.9466968,28.143804222637286,1650207513.9879675,29.20656292536821,1650207515.4491262,Out of Range
1650207514.962951,28.449703191333256,1650207515.0040169,28.90232363515535,1650207516.4771485,Out of Range
1650207515.9792242,28.367742577946995,1650207516.0200887,28.76187595242519,1650207517.5051446,Out of Range
1650207516.9954543,28.58629010996061,1650207517.0360868,29.146621690622858,1650207518.5328624,Out of Range
1650207518.0116985,28.417970948066827,1650207518.0511453,29.142211920756605,1650207519.5607758,Out of Range
1650207519.02791,28.506291339585243,1650207519.067034,29.173922481694397,1650207520.588505,Out of Range
1650207520.044203,28.75356301724333,1650207520.0829754,29.126101527402852,1650207521.6164255,Out of Range
1650207521.0630958,28.468706811409795,1650207521.1027966,29.298207587319336,1650207522.6443918,Out of Range
1650207522.088026,28.550659606627086,1650207522.1205702,28.993994694489043,1650207523.6722794,Out of Range
1650207523.1041121,28.365281131308823,1650207523.1366966,29.253361193289024,1650207524.7001636,Out of Range
1650207524.120098,28.478463429376625,1650207524.1528075,29.191894032613952,1650207525.728157,Out of Range
1650207525.1358876,28.87594709418602,1650207525.1677666,29.25675145902408,1650207526.7562826,Out of Range
1650207526.15115,28.714036443364364,1650207526.1826093,29.04419332899603,1650207527.7842789,Out of Range
1650207527.167344,28.973981247063115,1650207527.1979687,29.087098415466382,1650207528.8123462,Out of Range
